sentenca,categoria_maritaka
tudo de bom nhami nhami,"comida, bebida, serviço"
Criatividade culinária distribuída num cardápio vasto com sabores e aromas do nosso País e um atendimento de uma delicadeza intimista que nos faz se sentir em casa,"comida, serviço"
"Se ainda tiverem coragem de ir,  NUNCA peçam a opção NA CHAPA, pois a maioria dos itens já chegam queimados na sua mesa, é uma fumaceira horrível e vc tem que ficar cuidando toda hora do que está em.cima da chapa para não torrar mais ainda.","comida, outros"
Ótimo custo-benefício.,preço
"Ótimo espaço, em eventos temáticos se torna ainda mais bonito.","ambiente, outros"
Os funcionários educados e prestativos em acomodar o  nosso grupo que estava comemorando um aniversário surpresa.,serviço
"Um dos melhores rodízios de pizza e massa que já fui, se não o melhor.","comida, bebida"
"Imenso atraso na entrega, não recomendo!","a frase analisada contém apenas um tema identificado:

- serviço"
"As pizzas são muito boas, com massa fina e boas opções de sabores, das mais tradicionais a algumas mais complexas (uma opção de queijo brie e...Mais","comida, outros"
Recomendo.,geral
precisa de uma ótima manutenção pois acho que já está bem gastas... O demais está perfeito.,ambiente
"Fomos bem atendidos por uma funcionaria novata, porem muito atenta, totalmente diferente dos desatentos veteranos",serviço
Fui numa festa infantil e fomos muito bem servidos!,serviço
"Café da manhã ótimo, mas o jantar não gostei tanto, os pratos de carne são bem pequenos para o valor.","comida, preço"
"Este restaurante tem como atrativo uma das melhores picanhas no bafo de manaus, tem também um arroz com brócolis que é uma delícia, o atendimento é bem rápido nos dias normais, mas no caso de feriados e datas comemorativas voçe vai pegar uma bela de...Mais","comida, serviço"
ótimo pra tomar um bom chopp e comer petiscos.,"<frase>
                bebida, comida"
Tem grande variedade mas às vezes (nem sempre)  serve alimentos frios e isso é uma grande frustração,comida
"Chopp geladinho, muitooo bom!",bebida
"Comi 3 pratos diferentes em ocasiões diferentes e sempre muito bem servido, com um cozimento impecável e um ótimo serviço, os preços são muito bons!","comida, serviço, preço"
Entrada simples que dá acesso ao lobby com uma grande escada (possuem elevador ) em cima o salão bonito e com vista privilegiada do teatro Amazonas .,"ambiente, outros"
"São as melhores carnes, e o atendimento de primeiras qualidade.aquela sobremesa de deixar água na boca","comida, serviço"
"O atendimento deixa um pouco a desejar.... Pessoal meio mau humorado e não fazem muita questão de te servir, se estiver com tempo e paciencia vale a pena, a vista para o teatro é...otima das cadeiras ao lado de fora.Mais","serviço, ambiente"
Sugiro melhor organização nos próximo feriados e datas especiais.Mais,"como um chatbot, eu não tenho a capacidade de analisar comentários em tempo real ou de acessar bancos de dados externos para fornecer análises específicas de comentários de clientes no entanto, posso fornecer um exemplo de como você poderia realizar a análise com base na descrição que você forneceu

para o comentário: ""sugiro melhor organização nos próximo feriados e datas especiais mais"", podemos identificar o seguinte tema:

- outros: representa sentenças relacionadas que não se encaixam em nenhum tema citado anteriormente no caso do comentário fornecido, ""sugiro melhor organização nos próximo feriados e datas especiais mais"", o tema ""outros"" é apropriado, pois o comentário não se refere diretamente ao serviço, bebida, ambiente, comida, localização ou preço do restaurante, mas sim a uma sugestão geral de organização para o futuro

se você tiver um comentário específico que gostaria de analisar, por favor, forneça a frase completa e eu farei o meu melhor para identificar os temas relevantes com base nas informações que você forneceu"
"Antigo canto dos intelectuais hoje é habitada por jovens boêmios, estrangeiros que vêm se aventurar na Selva Amazônica e experimentar um pouco de sua seiva.","ambiente, comida"
"Não tem estacionamento próprio, pastel proposto o de feira pastel servido o de festinha infantil e a massa das pizzas pareciam ser compradas em supermercado.","ambiente, comida, outros"
De entrada pedi queijo parmesão negro e bolinhos de bacalhau.,comida
Indico com certeza  muito gentil e cordial,serviço
Ótima opção para reuniões informais e até mesmo aniversários.,geral
"Atendimento de excelência, variedade de massas de qualidade, o temperinho maravilhoso dos molhos, super recomendo","serviço, comida"
"A sobremesa pedi um petit gateau, bom, porém não pediria novamente e demorou, mas não diminui a nota, pois o atendente foi educado e nos deixou por dentro do ocorrido do atraso, um bom atendimento camufla eventuais acontecimentos.","comida, bebida, serviço"
O melhor kikao da cidade!,"a frase ""o melhor kikao da cidade!"" não fornece informações detalhadas o suficiente para identificar os temas mencionados, pois não descreve o serviço, o ambiente, a localização ou outros aspectos do restaurante a única palavra ""kikao"" pode estar relacionada à comida, mas não há informações suficientes para determinar se é um prato específico ou a qualidade da comida portanto, não é possível classificar a frase em nenhum dos temas especificados"
Ótimo ambiente para eventos especiais como aniversário e confraternização.Recomento atendimento pelo o garçom Ezequiel.,"ambiente, serviço"
"Restaurante flutuante com comida muitooo boa, atendimento excelente, várias opções de drinks, música boa e um banhoi de rio revigorante!","comida, bebida, serviço, ambiente, outros"
Almoço no estilo self-service onde você come bem pagando um preço justo.,"comida, preço"
A matrinxã recheada estava incrível de macia e gostosa e os preços têm ótimo custo-benefício!,"comida, preço"
Normalmente muito movimentado e sem distanciamento social... oferece diversidade de opções.,"localização, outros"
Ótimo ovo de Páscoa do coco bambu recomendado pelo garçon,"comida, serviço"
(Tradução do Google) As crianças adquirem o deuce especial enquanto minha esposa adquire uma omelete branca uma veggies e meu ordenou meu ego um hambúrguer mesquite tudo estava delicioso e preços não eram caros  (Original) Kids get the deuce especial while my wife gets a omelette white an veggies and my ordered my self a mesquite hamburger everything was delicious and prices were not expensive,"comida, bebida, serviço, preço"
Um casarão antigo deu lugar a um restaurante de ambiente acolhedor e cardápio magnífico!!,"ambiente, comida"
"O restaurante tem vista do belo Teatro Amazonas, a infraestrutura é muito boa, com arquitetura bonita.","ambiente, localização"
Mas vale a visita para conhecer .,geral
Taco maravilhoso.,comida
"E ainda tem uma brinquedoteca espetacular, por isso as crianças adoram ir lá.",brinquedoteca
Fui comemorar uma data especial.,"comida, bebida, ambiente, serviço, preço, localização, geral"
"O salão é amplo, bonito e é ótimo p/ grupos grandes.",ambiente
Estive na cachaçaria para happy hour promovido por um amigo de S. Paulo quando estive em Manaus a trabalho.,"comida, bebida"
Materia prima de primeira qualidade.,comida
a entrda ade linguicas tmbm muito gostosa e a porçao do peixe muito bem servida.o atendimento foi meio desatento  mas local...Mais,"comida, serviço, localização"
"Provamos a formiga de entrada , bem diferente mas não comeria novamente.","comida, bebida"
"Peoxe assado delicioso, Tem  estacionamento ... É um lugar agradável e familiar .","comida, localização, ambiente, geral"
"Corresponde à habitual qualidade da comida, num ambiente agradável com música ao vivo e num volume adequado.","comida, ambiente"
"Comida cara e ruim, serviu coxão duro como picanha, insatisfação total.","serviço, comida"
"Comida muito boa, ambiente rústico e muito agradável, ótima pedida pra happy hour, às vezes deixa a desejar no atendimento.","comida, ambiente, serviço"
O garçom Celso foi muito atencioso e é um excelente fotógrafo!,serviço
Estacionamento fácil na rua em frente pelo menos de noite.,localização
"Não gostei do lugar atendimento muito demorado , som alto demais não dar conversar , o rapaz que fica na entra e na saída super mal educado, e outra muito caro as coisas por lá","serviço, ambiente, outros"
"Com uma boa estrutura e excelentes pistas para jogar, conta também com sinuca, vídeo game e outros jogos.","na frase fornecida, os temas identificados são:

- ambiente
- outros"
Philippe  muito atencioso  e educado,serviço
"Topper Ambiente agradável, musica boa.","ambiente, música"
"O estabelecimento impressiona na variedade de produtos do empório... A história da cachaçaria já é motivo de brindar uma boa cachaça, pratos elaborados com muito requinte e sabor.","comida, bebida"
Uma das melhores hamburguerias de Manaus.,comida
Ótimo trabalho,serviço
"Gostamos muito do ambiente e pela quantidade de pessoas a servir, a comida veio rápido, muito saborosa e o atendimento do garçom Osmar foi excelente, tentarei nas próximas idas ao local, ficar nas mesas servidas por ele.","ambiente, serviço, comida"
"Não deixe de provar o hambúrguer de tambaqui, o buruti real e os milk shakes.","comida, bebida"
"Comida deliciosa e ótimo atendimento do Edson Jr. Restaurante detentor de notas únicas e individualidade fenomenal, seja em gastronomia da terra quanto do mar.","comida, serviço"
Muito bom dia de sexta feira música ao vivo,música ao vivo
Asinhas deliciosas!!!,comida
"O serviço é de alta qualidade, os petiscos atendem a todos os gostos e o som ambiente proporciona encontros agradáveis.","serviço, comida, ambiente"
"Excelente experiência no Restaurante Coco Bambu Manaus, comida excelente, garçon Venicius muito prestativo, e som ao vivo de muita qualidade.","comida, serviço, ambiente"
"Atendimento excelente e uma ótima casa para se divertir entre amigos, e  claro, fazer novas amizades!","serviço, ambiente"
Cerveja gelada (não tão em conta) e músicos bons que sempre estão tocando por lá.,"bebida, outros"
"Ela está presente em dezenas de pratos doces e salgados, do café da manhã ao jantar, e no Banzeiro a fruta aparece em forma de um delicado creme, maçaricado ao estilo brullè e pode ser acompanhado com sorvete de cumaru, a baunilha amazônica.","comida, bebida"
O lugar é ótimo para quem quer apreciar a natureza tomar um bom banho de rio e curtir o por do sol que o lugar proporciona.,"localização, outros"
Estacionamento  com manobrista.,localização
Ao lado do teatro amazonas que emoldura produtos de qualidade e bom preparo.,"comida, bebida, serviço"
"Contudo, tem várias opções saborosas e bom custo-benefício para rodízio ?","comida, preço"
"A carta de vinhos é uma enganação, nunca tem o que você escolhe, só o mais caro.",bebida
"Pedi calderado de tambaqui,  chego no caldo muito fino, e nao muito para 2  pessoas, o piráo era farinha mohlado, parece nao eera feito com na caldo, horrivel, o vinegreite parece uma salada de tomate, ceballa, pedaacoes grandes sim sabor, lencoies de papel pequeno,  Servicio...Mais","comida, serviço"
Ademais uns tira-gostos maravilhosos.,comida
"Tem uma cachaça de uva, maravilhosa !",bebida
As mesas ficam distribuídas em quartos.,ambiente
Mammamia é uma casa de rodízio ótima me senti muito bem ainda mais com a recepcionista maravilhosa Nathalia que vocês têm muito simpática educada uma pessoa muito receptiva .,"serviço, ambiente"
"Excelente atendimento, culinária impecável, ambiente bonito, apesar de não ser climatizado o clima ambiente é agradável, quanto aos preços.., estão na média das peixarias de Manaus, com exceção das sobremesas que está fora da realidade, uma fatia de pudim a R$ 15 reais acho muito caro, sem contar que são poucas opções de sobremesa, um outro ponto que tenho que parabenizar é o fato de disponibilizarem um lugar agradável para aguardar enquanto não dispõem de mesas desocupadas, muito bem organizado","serviço, comida, ambiente, preço, outros"
"A qualidade já reconhecida dos cafés da unique, preparados por um bom Batista, aumentam a percepção sensorial.","café, preparado por um bom barista, percepção sensorial"
"Excelente restaurante, variedade, sabor típico regional com toques internacionais.","comida, serviço"
Atendimento ´rápido e preciso Boa refrigeração.,"serviço, ambiente"
A partir de indicação daqui decidimos por um restô Português e não poderia ser melhor .,"<frase>
                comida, bebida, serviço, geral"
"Tem um senhor, sempre de preto, um japonês, que trabalha lá, um senhor muito educado,","como não há uma frase completa fornecida para análise, não é possível identificar os temas contidos nela por favor, forneça a frase completa ou o comentário do cliente para que eu possa ajudá-lo a identificar os temas mencionados"
"Atedimento excelente, em especial gaçom senna, mostrou pra mim que valeu cada minuto nesse restaurante, vcs que querem um bom atedimento proucure o garçom senna no Coco Bambu nota 1000 voltarei com toda certeza.","serviço, atendimento"
Excelente atendimento  Eu e minha família fomos muito bem atendidos Parabéns a recepção Tive um ótimo atendimento pelo Garson Bruno Comida maravilhosa e ainda tivemos uma mesa ótima escolhida pela recepcionista joici que também está de parabéns Obrigado coco bambu...,"serviço, comida, outros"
Muito agradável com um dos melhores rodízios de sopas de Manaus,comida
Lugar agradável porém difícil arrumar um estacionamento no horário do almoço nos dias úteis aceitam o ticket alimentação,"localização, outros"
"Ambiente familiar, porém restaurante não oferece muitas opções no cardápio, preço um pouco caro, estacionamento bacana","ambiente, cardápio, preço, estacionamento"
Este é um ótimo começo para uma noite épica em Manaus.,geral
Recomendo nos dias menos movimentados.,localização
"Rever os amigos que moram fora da cidade, tivemos uma ótima experiência , excelente atendimento pelo Rodrigo Uchôa.",serviço
"As pizzas do rodízio tem sabores sensacionais mas as fatias deixam a desejar pois em relação a outras pizzarias, as fatias das pizzas são minúsculas apesar do preço ser bem mais caro.","comida, preço"
"Refeição excelente e saborosa, cardápio variado, atendimento impecável, estacionamento amplo.","comida, serviço, estacionamento"
"É preciso prestar atenção nos preços, por que tem pratos que são um absurdo.",preço
"O ambiente é um casarão antigo do ciclo da borracha, com a vista pro poético Teatro Amazonas.","ambiente, outros"
"Boa opção para momentos informais, em família ou com amigos.","a frase fornecida não contém informações específicas sobre comida, bebida, serviço, ambiente, localização, preço ou outros temas relacionados a restaurantes ela parece se referir a uma avaliação geral do restaurante como um local adequado para diferentes tipos de ocasiões sociais portanto, o tema identificado é:

- geral"
"Meus 2 filhos pequenos,  meu marido e eu fomos, no domingo de Páscoa, almoçar,  pois queríamos degustar delícias amazônicas.","comida, ambiente"
"A carne de sol, sem gosto e as postas finas demais; maionese horrível, baião sem tempero.",comida
"Lá você degusta os principais peixes regionais como tambaqui ou o pirarucu, mas com uma grande diferença das outras peixarias tradicionais, a apresentação, os temperos utilizados, deixando...Mais","comida, serviço"
"O meu preferido é o bowl tirashi salmão, muito bem servido e é uma delícia.","comida, serviço"
O melhor kikao de Manaus,kikao
"Como sempre, fui muito bem atendido na Búfalo, mesmo atualmente que estão com promoção de 2ª a 6ª, o padrão da comida e atendimento continuam os mesmos Acho que poderia ter mais opção na tábua de frios para do salad bar, mas isso seria só...Mais","serviço, comida, bebida, outros"
"Recomendo está Churrascaria, atendimento com excelência, aparador completo e variado, churrasco de alto nível com carnes nobres e complementos deliciosos.","comida, serviço, ambiente"
"de época, uma vez que é regado com temáticas sazonais com apresentações musicais, aí quando você  pensa que acabou vem um som ao vivo com excelente repertório musical.","ambiente, bebida, outros"
Estar em Manaus e não desfrutar dos sabores do Alentejo é quase uma heresia!!!,comida
"varias opções de churrascos, comida boa, ambiente agradável e familiar, tem área para criança (pequena, mais tem)","comida, ambiente, outros"
O atendimento do Stivem e do Robson fez total diferença na nossa noite!!!,serviço
Tem um estacionamento próprio.,localização
Loval familiar e muito agradável,"ambiente, geral"
"Amo comida mexicana, e a de vocês estava saborosíssima, o guacamole maravilhoso... Parabéns ?","comida, serviço"
"Chegando já deparei com um estacionamento amplo, o ambiente é bastante regional caboclo, com mesas e cadeiras de madeira, super decorado com imagens de animais silvestres, o cardápio e bastante variado, local limpo e bastante ventilado, vale a Pena ir com a família e amigos.","localização, ambiente, comida, geral"
"Café da manhã excepcional, muito bom, todos os itens como preço justo","comida, preço"
Para os ribeirinhos amazônicos ‘banzeiro’ é a agitação das águas feita pelos ventos.,ambiente
"Playlist sensacional, ambiente agradável e atendimento excelente.","ambiente, serviço"
"Instalações de bom gosto, estacionamento exclusivo com opção de manobrista, excelente localização - bairro comercial nobre - estrutura de atendimento bem organizada, pessoal jovem e competente, inclusive o chef, culinária bem elaborada e prática, mesclando culinária italiana e francesa - peixes, inclusive regional nobre (filé...Mais","a partir da análise da frase fornecida, os temas identificados são:

ambiente
localização
serviço
comida"
"Ótimo lugar para um café e conversa casual, ambiente extremamente confortável e atendimento não deixa a desejar.","ambiente, serviço"
Comida sem grande expressividade.,comida
"Local agradável, com bom receptividade e preço acessível ?eu e minha família não temos do que nos queixa","local agradável, com bom receptividade e preço acessível, eu e minha família não temos do que nos queixar

temas identificados:
ambiente
serviço
preço
geral"
Muito boa ketherin,"comida, outros"
"Toda visita que faço ao Banzeiro parece ser a primeira, sempre me surpreendo comi os sabores e execução perfeita dos pratos.","comida, serviço"
Pessimo .barrulho de adolecentes sem respeito nenhum com outros clienres,"a frase analisada não menciona diretamente nenhum dos temas específicos relacionados a restaurantes, como comida, bebida, serviço, ambiente, localização ou preço portanto, a saída contendo apenas os nomes dos temas identificados na sentença seria:

<frase>
outros"
"Peixe sem suculência e seco, baião com arroz de qualidade ruim, arroz branco ruim, enfim, era segunda feira e não sei o que houve com a cozinha.",comida
"Pizza de ótima, atendende excelente Rosalinda","serviço, comida"
"Comida excelente, porém o atendimento pós covid me surpreendeu ( não sei se era garcon novato) enfim não tive uma boa experiência, não me senti tendo o padrão de atendimento pelo qual paguei.","comida, serviço"
"Apesar de no dia atenderem apenas através de reservas, ficaram sensibilizados com a forma que fomos tratados numa data tão importante e acabaram nos aceitando.",serviço
Carne de sol a melhor the best,comida
"Sardinha fresca , delícia","<frase>
                comida"
"Tudo gostoso, muito rápido, estacionamento amplo, ótimo atendimento de todos os funcionários, principalmente do garçom Nayron e do Chef Raimundo, sempre perguntando se estava tudo certo","comida, serviço, localização, outros"
"Eu sou frequentador constante do Abaré SUP, um lugar maravilhoso com uma comida divina.",comida
Bom apetite!,comida
"Em abril de 2017, após um cruzeiro inesquecível pela região de Anavilhanas com o IBEROSTAR Grand Amazon, escolhemos o bistrô Belle Époque, localizado no andar térreo do shopping Ponta Negra em Manaus, para encerrar nossa estadia gastronômica no Amazonas.","<frase>
                ambiente, localização, geral"
Topzao super legal só acho que deveria baixar o preço do frango assado e do peixe assado afinal nem estamos tão longe de Manaus ?????????,"preço, comida"
"O Coco Bambu Manaus, está dentro dos padrões de qualidade da rede, sou um frequentador em Fortaleza e a unidade de Manaus está perfeita, com um cardápio de 1a qualidade e vasta variedade de pratos; Além de que, o requinte e sofisticação na elaboração de...Mais","comida, bebida, serviço, ambiente, localização, preço, geral"
"Quanto aos preços, são exagerados pela quantidade , acho que poderia ser um pouco menor.",preço
"Atendimento excelente  Garçons Rafael e Senna muito atenciosos, atendimento nota 1000...",serviço
Carta de vinhos de primeira linha.,bebida
Atendimento do garçom Neto excelente.,serviço
Para quem gosta da culinária portuguesa a visita eh obrigatória.,comida
"Há exatos 8 anos comecei a frequentar o restaurante e NUNCA fiquei a desejar com a comida e o serviço, pelo contrário, sempre tenho momentos maravilhosos lá!","comida, serviço"
"Uma delícia, recomendo essa opção de prato, mas ela é mais para os amantes de queijo.",comida
"Todas vezes tive problemas com nota fiscal, como o trabalho reembolsa preciso dela.",localização
"No assunto comida boa, eu encontrei o lugar perfeito.",comida
Não justifica essa nota !,"a frase ""não justifica essa nota!"" não fornece informações suficientes para identificar os temas mencionados anteriormente, já que não há detalhes sobre serviço, bebida, ambiente, comida, localização, preço ou uma opinião geral sobre o restaurante portanto, não é possível retornar os nomes dos temas identificados na sentença com base na informação fornecida"
"Atendimento é sempre maravilhoso, COMIDA NEM SE FALA, Chopp sempre gelado e com a caneca geladerrima.","serviço, comida, bebida"
Experiência incrível para um ótimo final de tarde.,"comida, bebida, serviço, ambiente"
"Alberto muito recepcionista, simpático e atende super bem!",serviço
"Local possui estacionamento amplo e ainda conta com brinquedoteca a um custo de R$ 10,00.","localização, preço, outros"
"Chop bem gelado, petisco nota mil.","chop bem gelado, petisco nota mil"
Tem estacionamento próprio.,localização
Custo benefício interessante pois deram uma melhorada boa.,"preço, geral"
Foi o lugar em que escolhemos pra comemorar essa data especial!,"comida, bebida, serviço"
Não se preocupe muito melhor fora,"a frase ""não se preocupe, muito melhor fora"" não fornece informações suficientes para identificar claramente os temas de serviço, bebida, ambiente, comida, localização, preço ou geral, pois não contém descrições específicas sobre o restaurante ou suas características portanto, não é possível retornar uma saída contendo os nomes dos temas identificados na sentença"
"Comida excelente, drinques espetaculares.","comida, bebida"
Porém a entrada do restaurante é uma escada estreita e se for com crianças terá que carregar o...Mais,"localização, outros"
"O Garçom Antonio que serviu nossa mesa muito atencioso, educado e sempre atento aos detalhes foram momentos maravilhosos.",serviço
Muiti legal e acongecante,ambiente
"Após um dia de trabalhos e conhecimentos adquiridos no nosso evento científico, viemos jantar Barolo.","<frase>

serviço, ambiente, comida"
"além de ser um flutuante no meio do rio negro, você pode praticar SUP e ainda ver um belo por-do-sol!","ambiente, atividade de lazer"
no mais tudo bem.,"comida, bebida, serviço"
"Por exemplo: banheiros insuficientes, e precários; precisa melhorar a limpeza do ambiente, afinal é um local que serve alimentos; Um fraldário mais respeitoso às crianças pois o público é grande.","ambiente, limpeza, outros"
Coisa mais bonita que vi,"a frase ""coisa mais bonita que vi"" não contém informações suficientes para aplicar os temas propostos, uma vez que não faz referência a um restaurante ou a elementos específicos de uma experiência gastronômica portanto, não é possível identificar temas como serviço, bebida, ambiente, comida, localização, preço ou geral"
"O cardápio contempla carne, peixe, frango, camarão, lagosta em formatos individuais e para até 3 ou 4 pessoas: a maioria saborosíssimos!!",comida
"(Isso falando de almoço, pois é o único horário que conheço do estabelecimento)","comida, bebida, serviço, ambiente"
Para um bom bate-papo.,"ambiente, bebida, comida"
"E a comida NÃO faz mal, como em um concorrente próximo.",comida
"Estivemos no coco bambu para conemorarmos o aniversário de uma amiga,  fomos atendidos pelo garçom  Rodrigo Uchoa excelente,  rapido, ótima memória rsrs, prato Praia de Olinda  estava delicioso, ambiente agradável e aconchegante.","serviço, comida, ambiente"
"(Tradução do Google) Boa comida, bom preço, bons servidores  (Original) Good food, good price, good servers","comida, preço, serviço"
Não possui estacionamento próprio mas as ruas usadas para isso são seguras além de ficar em uma avenida de facil acesso av.,localização
Carta de vinhos muito boa também.,bebida
"O jantar foi ótimo e o ambiente é bastante agradável, só o meu suco de manga e de outras duas amigas que estava muito estranho, não sabíamos se era um adoçante ruim ou uma manga podre.","comida, bebida, ambiente"
"Lugar tranquilo, música boa, garçom Mauro muito atencioso, gente boa e sempre traz o nosso chopp bem geladinho!!","serviço, ambiente, outros"
Ótimo local para um happy hour com amigos.,"localização, ambiente"
"Atendimento muito bom, cômoda impecável.","serviço, ambiente"
Lugar aconchegante para ir com família ou amigos pra hapy hour.,"ambiente, outros"
Um dos melhores hambúrguers que comi em Manaus.,comida
"Restaurante muito bom, comida maravilhosa, ótimo atendimento, possui estacionamento próprio e tem o preço bom para o nível do restaurante.","comida, bebida, serviço, preço, geral"
"Ambiente agradável, pé direito alto, situa-se no segundo andar do prédio.","ambiente, outros"
"Lugar super aconchegante, a comida maravilhosa, os atendentes têm uma energia muito boa, como a Nathasha por exemplo que está sempre sorrindo pros clientes e nos faz sentir bem, assim também a recepcionista Nathalia que nos recebe com todo carisma, excelente!","ambiente, comida, serviço"
"O restaurante fica no andar superior de um prédio antigo, mas com elevador para pessoas com dificuldade de locomoção e ambiente rústico mas chique, sanitários novos.","localização, ambiente, outros"
Ótimo lugar bom atedimento,"serviço, comida"
Tem estacionamento próprio.,localização
Foi no Caxiri que conheci a deliciosamente maravilhosa cachaça de jambu.,"<frase>
                bebida"
"Excelente comida, atendimento da Ketherin muito bom, educada e prestativa.","comida, serviço"
"Sempre lotado, Mas as gordelicias são muoto boas.",comida
"Ambiente super agradável, ótimo para a família e amigos e as crianças claro, por conta dos brinquedos (pula pula, escorredor inflável).","ambiente, outros"
"Também tive a oportunidade de degustar o Fillet Minhnon a Parmegiana, muito bom!",comida
Muito bom atendimento do Felipe muito bom que Deus abençoe sempre este lugar e seus funcionários tops,serviço
"Se você vai apenas pela pizza recomendo muito pois a qualidade da pizza é excelente, mas se você vai para comer sushi eu não recomendaria, pois cheguei às 19H e demoraram uma eternidade para começar a sevir e ainda era sushi do dia anterior com a alga incomestível além de ter apenas 4 opções de sushi foi uma decepção total dinheiro jogado no lixo.","comida, serviço, outros"
"Estão com ótimas promoções e o happy hour bem tendencioso, além da música ao vivo!","serviço, ambiente, outros"
Só falta uma brinquedoteca para atender melhor famílias com crianças.,"<frase>
                ambiente"
Pode comer o tanto do rodizio que quiser que ja está incluso nos 35.. ótimo comemoração de casamento a dois ou em família.. excelente..,"comida, serviço, ambiente"
"Um pouco mais de atenção aos itens de maior rotatividade solucionaria, o atendimento dos garçons é bem satisfatório.",serviço
"Dos pratos o único que ficou a desejar foi o Picadinho coco bambu, infelizmente prato sem graça, sem sal, e sem vida kkkkkkk.",comida
"A cachaçaria já foi boa, mas hoje não é mais, depois que a vigilância sanitária encontrou carne estragada no local, nunca mais tive coragem de comer lá.","serviço, comida"
Dica: Camarão Imperial e sobremesa a famosa cocada de forno com sorvete e torta de banana.,"comida, bebida"
Flutuante fantástico e uma Peixada inabalável,"comida, bebida"
Melhor T-bone da cidade.,comida
Vale a pena uma visita para que tirem as próprias conclusões da comida.,comida
"Ambiente típico e regional, confortável, com estacionamento próprio e bem localizado.","localização, ambiente"
Top a noite caribenha.,"comida, bebida"
Comemos o Camarão internacional e de sobremesa uma cartola maravilhoso.,"comida, bebida"
"Pecimo lugar, uma verdadeira baderna.","localização, outros"
"Comida boa... ambiente muito iluminado... acústica prévia ser melhorada,Pois mesmo em conversas baixas, o som acaba sendo ficando elevado...","comida, ambiente, outros"
Td perfeito,"comida, bebida, serviço"
"Atendimento instalações e cárdapio excelentes, o estacionamento também facilita muito, só não levou a nota máxima porque acabar o chopp as 21h de uma sexta feira é inexplicável","serviço, ambiente, comida, localização, preço"
"Atendimento do Rodrigo uchoa muito bom, atencioso.",serviço
"Em plena segunda-feira a unidade manauara estava com suas mesas totalmente ocupadas, demonstrando o prestígio junto a locais e turistas.","localização, geral"
"Funcionáros anteciosos, especialmente a funcionária Belém.",serviço
Boa experiência...,"serviço, comida, ambiente"
"Atendimento por Whatsapp horrível, precisei insistir pra concluir o pedido, pois a atendente Janaína se esforçou pra tornar o atendimento desagradável., Foram vinte e cinco minutos com longas esperas pra receber cada resposta.",serviço
ameeiii ...lugar cheio de lembranças dos grandes intelectuais desse Estado..,"localização, outros"
"Espero, numa próxima oportunidade, reecontrá-los promovidos em suas tarefas, pois todos têm potencial para essa chance...Mais","como a sua solicitação não inclui um comentário específico de um cliente sobre um restaurante, não posso identificar os temas contidos em uma sentença que não foi fornecida por favor, forneça o comentário do cliente para que eu possa ajudá-lo a identificar os temas mencionados"
"1 obs, o barulho da praça e do posto (ás vezes alguém leva um paredão) é muito incômodo :/ mas acho q nova unidade eles não terão que lidar com esses problemas","ambiente, outros"
"Os garçons muito atenciosos, mas poderia haver mais, já que é rodízio e se passa um tempo a mais esperando uma nova rodada.","serviço, comida"
Atendimento muito bom pelos garçons Senna e Bruno e o gerente Guerra.,serviço
"Estive sozinho no Barollo na noite de 14/05 para jantar e tive uma experiência muito boa, mesmo não estando acompanhado.","comida, bebida, serviço, geral"
"Lugar com atendimento muito bom, o café da manhã ótimo.","serviço, comida, bebida"
(Original) Just a very regular and average burger ?.,comida
"Nos dias lotados, o atendimento pode demorar um pouco, mas quando o pedido chega, faz valer a pena a espera.","serviço, ambiente"
Voltarei com total certeza.,geral
cats a mais antiga e tradicional de manaus <3,"comida, bebida, serviço, geral"
A mesa é reposta constantemente o que possibilita uma café da manhã generoso.,"comida, bebida, serviço"
"Parabéns Coco Bambu pelo profissional exemplar, na próxima gostaríamos de ser atendidos por ele Novamente.",serviço
"Ponto negativo de observação: lugar médio para o quantitativo de mesas, o que o deixa sem espaço para melhor circulação.",ambiente
Apenas o local é ruim porque não tem espaço suficiente pros clientes.,localização
Lugar limpo bonito e comida saborosa recomendo,"comida, ambiente, geral"
Agora com nova instalação na Max Teixeira com amplo conhecimento e uma comida boa !,"comida, serviço"
Casario antigo reformado.,ambiente
"Lugar agradável, com estacionamento acessível, tempo de espera razoável, preço padrão, atendimento com com eficácia, pratos atrativos, espaço infantil, banheiros higienizados.","lugar agradável, espaço infantil, banheiros higienizados"
"Especial menção ao Garçon KAIQUE ALVEZ, que é nota dez!",serviço
Infelizmente nosso coco bambu já foi melhor.,"comida, bebida"
Uma das melhores stickhause tematicas,"stickhause temáticas não fornece informações suficientes para identificar os temas mencionados na sua descrição a frase não contém detalhes específicos sobre serviço, bebida, ambiente, comida, localização, preço ou uma avaliação geral do restaurante portanto, não é possível identificar os temas solicitados com base na informação fornecida"
"Sempre antes de viajar, gosto de espiar as atrações do meu próximo destino aqui no Trip.","localização, geral"
"excelente atendimento, td maravilhoso parabéns","serviço, geral"
Ótimo lugar para happy hour!,happy hour
Suchy deliciosos,"comida, bebida, serviço"
"Restaurante com muitas opções de sabores, desde a saborosa carne de sol, joelho suíno e sobretudo o açaí do Pará.",comida
Lugar agradável carne de qualidade e ótima preparação.,"comida, bebida, serviço"
"Minha irmã me levou a esse restaurante flutuante, que é um dos nossos costumes manauaras.","localização, comida, outros"
